score,R,G,B
94,182.52,166.16,159
85,198.94,179.01,162.51
101,186.02,160.59,147.1
95,200.03,175.71,162.35
87,196.56,175.86,163.24
106,174.4,149.56,138.45
103,168.5,145.57,123.9
89,203.27,182.18,168.84
99,168.9,151.51,135.55
101,184.73,159.31,146.87
97,194.4,171.63,161.05
88,203.41,177.58,156.23
103,169.96,147.45,130.44
93,175.43,157.11,152.99
87,209.39,189.11,177.55
103,183.33,158.18,144.63
110,160.91,137.88,129.95
95,172,153.03,143.51
97,178.9,157.02,150.04
105,168.17,149.1,127.63
97,180.28,162.28,154.41
87,203.64,179.37,161.44
101,178.41,154.59,142.86
101,176.16,156.91,140.57
95,198.82,177.55,168.11
95,184.49,162.6,139.89
97,178.87,153.23,132.16
93,196.44,174.41,161.96
93,202.18,179.58,168.64
93,189.64,168.58,154.97
95,194.3,172.02,158.19
95,183.91,164.22,154.17
87,213.13,194.56,178.99
97,184.49,160.54,143.99
91,191.48,172.84,167.38
94,175.01,150.12,125.47
89,189.65,167.98,152.42
85,196.11,175.41,165.92
93,182.88,161.01,151.56
99,189.92,165.51,149.45
89,193.34,171.2,160.3
91,196.41,177.07,162.73
96,175.58,150.72,129.53
95,179.57,159.84,154.23
105,171.8,154.41,145.5
96,178.41,159.14,150.87
99,185.22,162.56,153.43
95,186.56,170.75,166.67
103,178.56,153.6,137.72
95,188.67,165.56,154.04
95,184.55,163.05,139.64
102,185.92,162.44,152.53
93,180.31,155.75,139.91
105,175.35,151.84,136.29
101,168.54,142.99,120.8
99,177.32,151.53,140.06
101,193.11,168.93,153.88
95,179.4,154.79,125.93
95,178.48,159.71,155.56
91,187.94,164.76,145.35
87,195.54,173.77,163.63
87,194.37,174.6,155.55
77,204.86,187.09,173.96
93,195.45,170.56,154.75
93,187.66,168.63,160.25
101,180.3,156.5,132.32
95,186.28,164.6,155.2
91,191.77,170.87,160.42
95,180.73,153.11,137.11
97,183.52,161.97,143.93
91,175.2,150.92,136.22
107,176.45,152.18,141.55
95,192.52,172.64,156.36
98,190.02,165.99,152.25
101,194.81,169.85,153.81
105,177.66,154.16,145.18
89,189.46,166.02,153.59
83,176.19,154.08,134.59
97,189.97,170.18,162.1
89,190.48,171.11,148.52
99,179.22,155.71,138.01
97,193.91,167.53,160.19
97,178.27,152.57,136.15
87,201.59,179.97,170.41
87,208.15,185.59,174.26
95,185.81,164.5,155.86
101,177.71,154.88,131.96
91,194.8,169.66,154.29
98,190.02,166.39,155.31
103,185.22,159.69,146.56
89,190.29,172.4,163.76
91,190.07,163.39,146.26
101,184.92,164.61,144.61
92,197.74,175.19,153.66
99,188.59,167.92,160.41
77,218.15,199.64,183.42
89,211.5,188.32,174.12
103,187.82,163.04,144.52
76,211.73,195.15,178.51
95,197.21,173.97,155.28
91,182.03,162.21,150.85
78,217.69,202.93,182.43
101,192.94,165.62,147.33
107,176.14,156.34,145.64
105,173.57,155.89,140.95
103,187.67,165.26,155.78
85,201.78,180.22,166.94
87,193.77,170.95,144.89
105,173.15,151.48,143.88
93,190.08,168.82,146.86
95,169.42,149.34,138.09
89,197.72,177.89,165.91
91,173.96,153.85,132.95
87,207.65,186.28,169.08
96,188.97,164.13,147.82
102,176.67,154.82,130.28
85,205.93,183.74,163.89
99,189.81,165.24,156.77
79,223.68,204.62,182.78
101,181.83,153.06,144.74
95,192.2,166.64,148.9
89,188.85,168.58,152.03
95,184.41,158.97,144.29
89,195.64,171.51,160.42
91,179.09,159.86,154.34
107,173.03,146.08,134.75
98,187.56,163.68,147.69
103,182.75,154.74,142.95
89,193.05,170.33,154.74
103,180.36,162.48,155.25
101,183.86,160.5,149.66
108,171.51,145.58,134.02
98,169.38,148.24,134.52
89,208.26,187.15,177.87
101,194.43,169.87,156.16
103,177.55,154.46,137.4
105,175.5,150.39,136.58
97,182.95,158.94,142.97
89,181.2,163.25,152.67
89,189.17,169.28,160.41
101,186.81,164.71,153.09
92,185.61,163.95,142.78
97,187.54,161.71,145.42
91,195.14,172.73,160.24
97,190.97,165.67,149.49
107,169.82,143.14,130.1
85,208.39,186.41,173.26
97,191.2,166.2,153.3
96,180.46,159.45,137.69
87,200.31,179.21,168.33
91,188.84,168.99,155.7
92,195.26,172.37,157.09
105,158.98,137.49,123.6
105,174.58,148.83,124.93
77,206.36,189.7,178.84
89,192.34,176.22,167.51
89,191.44,167.49,140.27
107,164.39,141.85,130.37
98,168.49,149.15,135.93
93,196.69,175.14,158.64
109,156.14,132.85,124.38
93,188.34,164.51,150.89
95,191.45,170.58,158.79
106,171.23,150.02,139.76
99,190.69,165.23,151.84
95,183.08,161.66,147.14
87,195.79,174.45,163.38
91,204.66,183.54,169.29
96,188.71,163.56,136.87
85,204.79,184.96,168.75
107,174.39,148.04,137.15
101,177.94,154.79,141.03
102,169.57,149.67,132.2
97,182.84,163.49,156.21
105,178.09,155.03,147.48
103,178.07,159.03,149.92
85,197.89,178.47,172.22
108,173.39,148.79,139.07
103,189.51,167.52,155.09
80,211.6,191.36,177.74
85,199.49,180.08,167.85
103,175.62,147.01,132.73
95,197.19,177.66,168.09
95,189.3,167.57,152.87
85,203.56,181.5,160.1
97,171.87,153.34,130.41
106,174.61,146.56,126.49
97,192.88,170.63,161.17
87,194.11,177.07,164.9
97,182.93,160.6,148.9
95,175.49,154.73,146.91
87,199.35,180.65,170.73
95,192.96,170.55,158.23
92,174.37,155.57,139.79
101,183.72,159.19,145.88
87,186.72,159.62,130.7
103,174.43,155.83,146.57
91,188.17,163.99,141.76
87,194.1,172.83,161.57
91,182.68,158.34,131.48
101,171.22,150.59,140.09
107,178.58,153.73,140.87
92,187.39,163.67,150.12
105,165.93,144.38,123.21
106,169.59,145.2,126.64
89,192.61,170.57,155.46
89,195.78,171.14,152.02
109,167.69,147.74,145.56
98,182.11,157.55,143.96
97,174.4,156.89,137.92
106,172.17,146.63,126.52
77,216.23,198.43,182.4
89,186.48,163.53,149.91
97,193.39,168.8,153.99
99,164.96,142.96,137.4
93,185.9,159.86,142.56
95,199.15,180.61,173.53
97,175.26,154.68,149.55
96,185.06,164.42,146.78
96,183.95,163.07,139.78
79,206.56,186.32,168.52
103,187.15,165.07,153.58
99,187.86,162.56,149.99
91,189.92,165.9,151.21
79,217.57,199.66,178.01
95,181.71,156.48,140.58
101,181.32,158.86,146.83
89,185.03,158.74,142.24
89,203.35,180.3,170.45
105,171.67,148.28,136.33
101,170.15,147.42,136.03
93,174.52,157.51,149.28
77,206.78,188.4,175.38
103,183.42,157.17,151.51
87,191.84,170.08,158.68
107,181.93,161.32,153.53
87,196.86,173.78,156.11
101,188.45,168.28,156.67
101,183.05,155.09,140.57
110,170.43,145,139.28
89,175.28,152.14,136.59
97,193.61,168.12,150.14
103,183.24,158.87,145.74
101,176.02,151.29,132.92
105,181.06,159.38,150.25
91,204.13,180.96,170.8
95,197.42,175.33,160.33
95,190.82,167.5,154.09
91,196.52,173.7,159.05
93,186.9,163.99,151.97
